PERSON;REG_ADDR_KOATUU;OPER_CODE;OPER_NAME;D_REG;DEP_CODE;DEP;BRAND;MODEL;MAKE_YEAR;COLOR;KIND;BODY;PURPOSE;FUEL;CAPACITY;OWN_WEIGHT;TOTAL_WEIGHT;N_REG_NEW
P;8038900000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);07.08.2020;12290;ТСЦ 8041;OPEL;VIVARO;2004;ЖОВТИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1870;1785;2700;КА7522ВА
P;1412900000;410;ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ;19.09.2020;12250;ТСЦ 1443;PORSCHE;CAYENNE;2012;КОРИЧНЕВИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН;3598;2380;2880;АН4440ЕО
P;7122880401;410;ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ;27.02.2020;12296;ТСЦ 8047;MAZDA;6;2007;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН;1999;1434;1865;СА9185СМ
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;10.11.2020;12374;ТСЦ 6844;CHEVROLET;LACETTI;2005;БЕЖЕВИЙ;ЛЕГКОВИЙ;СЕДАН-B;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1598;1045;1665;ВХ2532ЕО
P;8038000000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;15.05.2020;12294;ТСЦ 8045;BENTLEY;CONTINENTAL;2012;ЧОРНИЙ;ЛЕГКОВИЙ;КУПЕ-B;ЗАГАЛЬНИЙ;БЕНЗИН;5998;2015;2425;КА2772КА
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;15.09.2020;12293;ТСЦ 8044;MAZDA;6;2011;СИНІЙ;ЛЕГКОВИЙ;ХЕТЧБЕК-В;ЗАГАЛЬНИЙ;БЕНЗИН;2488;1325;1970;АН6703ОВ
P;3222487201;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);10.09.2020;12296;ТСЦ 8047;BMW;X5;2004;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН;4397;1810;2380;АІ3190МА
P;5110137600;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);01.09.2020;12321;ТСЦ 5141;BMW;X5;2004;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН;4397;1810;2380;ВН7095МТ
P;3224955300;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;21.11.2020;12284;ТСЦ 3245;MAZDA;CX-7;2008;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ-B;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;2261;1590;2150;АІ7301МЕ
P;2323655500;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);22.02.2020;12337;ТСЦ 5641;MERCEDES-BENZ;ATEGO 1828;2003;БЕЖЕВИЙ;ВАНТАЖНИЙ;ПАЛИВОЗАПРАВНИК-C;СПЕЦІАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;6374;7600;18000;АР6858НС
