PERSON;REG_ADDR_KOATUU;OPER_CODE;OPER_NAME;D_REG;DEP_CODE;DEP;BRAND;MODEL;VIN;MAKE_YEAR;COLOR;KIND;BODY;PURPOSE;FUEL;CAPACITY;OWN_WEIGHT;TOTAL_WEIGHT;N_REG_NEW
P;7421181201;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;19.06.2021;12384;ТСЦ 7442;CHEVROLET;NIVA;X9L21230070187550;2007;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1690;1450;1850;СВ7153ЕВ
P;5610300000;450;ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ СВІДОЦТВА ПРО РЕЄСТРАЦІЮ У ЗВ'ЯЗКУ З КОРИГУВАННЯМ ОБЛІКОВИХ ДАНИХ ТЗ;05.06.2021;12338;ТСЦ 5642;ГАЗ;2310;X9623100072232607;2007;БІЛИЙ;ВАНТАЖНИЙ;БОРТОВИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2134;1900;2800;ВК5048ВМ
P;4623683801;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);09.02.2021;12309;ТСЦ 4643;BMW;735I;WBAGF41040DK35588;1997;ФІОЛЕТОВИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;3430;1850;2280;ВС7003МК
P;6525083502;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);01.07.2021;12368;ТСЦ 6544;OPEL;VIVARO;W0LF7ABA54V616225;2004;ЖОВТИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1870;1752;2700;ВТ3374СО
P;4810100000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;13.02.2021;12315;ТСЦ 4841;MERCEDES-BENZ;G 500;WDB4632481X123552;2000;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;4973;2800;3400;ВЕ9400ЕІ
P;8039100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);30.06.2021;12295;ТСЦ 8046;MERCEDES-BENZ;ML 350;WDC1641861A230826;2007;СИНІЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;3498;2239;2635;КА1906СК
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);21.07.2021;12233;ТСЦ 0545;VOLKSWAGEN;CADDY;WV1ZZZ2KZBX205587;2010;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;1593;1499;2184;АВ1047ІВ
P;8036400000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;13.07.2021;12295;ТСЦ 8046;BMW;X1;WBAVL31000VS12748;2012;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;1995;1685;2100;КА5918СТ
P;6810100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);03.02.2021;12371;ТСЦ 6841;CHEVROLET;AVEO;KL1SF69YE8B102582;2007;СИНІЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1498;1186;1510;ВХ8052ЕО
P;;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);26.06.2021;14147;ТСЦ 4649;FIAT;FIORINO;ZFA14600008359894;1994;БІЛИЙ;ЛЕГКОВИЙ;ПАСАЖИРСЬКИЙ;ЗАГАЛЬНИЙ;БЕНЗИН;1581;1120;1660;ВС6094ІО
P;8036400000;250;ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ ЧИ ІНШОГО ДОКУМ.ПРАВОКОРИСТУВАННЯ ;13.05.2021;12294;ТСЦ 8045;TOYOTA;AVENSIS;SB1BG76L80E079584;2012;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1798;1525;1950;КА7269СА
P;8038000000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;13.03.2021;12292;ТСЦ 8043;NISSAN;JUKE;SJNFBAF15U6244157;2012;ЧЕРВОНИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1598;1175;1675;КА0828ВТ
P;;329;ПЕРЕРЕЄСТРАЦІЯ ТЗ ЗА ДОГОВОРОМ ФІНАНСОВОГО ЛІЗИНГУ ТА ДКП ПРЕДМЕТА ЛІЗІНГУ;15.04.2021;12229;ТСЦ 0541;MERCEDES-BENZ;S 320 CDI;WDD2210221A252696;2009;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;2987;1950;2550;АВ9000ЕР
J;;363;ПЕРЕРЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З ПЕРЕДАЧЕЮ ДО СТАТУТНОГО ФОНДУ;19.03.2021;12363;ТСЦ 6349;VAN HOOL;CL 5NL;YE2CL501N14M23665;1993;БІЛИЙ;АВТОБУС;АВТОБУС;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;11697;11500;22000;АХ3570КЕ
P;6810100000;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);14.05.2021;12371;ТСЦ 6841;FORD;FOCUS;WF0KXXGCBKCA51843;2012;СІРИЙ;ЛЕГКОВИЙ;ХЕТЧБЕК;ЗАГАЛЬНИЙ;БЕНЗИН;1596;1270;1825;ВХ9535ЕР
J;1211037000;390;ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ КОЛЬОРУ ТЗ;07.05.2021;12537;ТСЦ 1248;ПАЗ;4234;X1M4234T0B0000324;2011;ЖОВТИЙ;АВТОБУС;АВТОБУС;ЗАГАЛЬНИЙ;ДИЗЕЛЬНЕ ПАЛИВО;5958;6422;9995;АЕ0012АВ
P;6810400000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;16.01.2021;12373;ТСЦ 6843;SUZUKI;GRAND VITARA;JSAJTD54V00110329;2005;СІРИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;1995;1400;2070;ВХ5562ЕО
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;13.05.2021;12292;ТСЦ 8043;KIA;SEPHIA;KNEFA2252P5412282;1993;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1598;945;1520;КА7264СС
P;;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;27.05.2021;12281;ТСЦ 3242;CHEVROLET;ORLANDO;KL1YA7559CK633198;2011;ЧЕРВОНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1796;1648;2171;АІ4307МТ
P;1421581201;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;25.05.2021;12248;ТСЦ 1441;NISSAN;ALMERA;KNMCSHLMSDP893681;2012;СІРИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН;1596;1230;1700;АН9044ОМ
P;1412336300;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);15.01.2021;12248;ТСЦ 1441;GEELY;MK;LB37624S9CL031048;2012;ЧОРНИЙ;ЛЕГКОВИЙ;СЕДАН;ЗАГАЛЬНИЙ;БЕНЗИН АБО ГАЗ;1498;1158;1460;АН8659ОІ
P;3525286901;308;ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ);25.05.2021;12293;ТСЦ 8044;MERCEDES-BENZ;G 63 AMG;WDB4632721X200804;2012;ЧОРНИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;5461;2550;3200;КА6369СВ
P;5110137500;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;11.02.2021;12321;ТСЦ 5141;SMART;FORTWO;WME4504321J156970;2004;СІРИЙ;ЛЕГКОВИЙ;КУПЕ;ЗАГАЛЬНИЙ;БЕНЗИН;698;970;815;ВН8854ОК
P;6810100000;315;ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ;17.07.2021;12371;ТСЦ 6841;PORSCHE;CAYENNE;WP1AB2A26BLA43350;2010;БІЛИЙ;ЛЕГКОВИЙ;УНІВЕРСАЛ;ЗАГАЛЬНИЙ;БЕНЗИН;4806;2225;2625;ВХ7006СО
